acao,pessoa1,pessoa2,selo,rodada,jogo
selo,EmpSem|FiscalAT,AgAT3,1,1,5
selo,EmpSem|FiscalAT,AgAT3,2,1,5
selo,EmpSem|FiscalAT,AgAT3,3,1,5
selo,EmpSem|FiscalAT,AgAT3,4,1,5
selo,EmpSem|FiscalAT,AgAT3,5,1,5
selo,EmpSem|FiscalAT,AgAT3,6,1,5
selo,AgCD3|FiscalCD,AgCD3|FiscalCD,1,1,5
selo,AgCD3|FiscalCD,AgCD3|FiscalCD,2,1,5
selo,AgCD3|FiscalCD,AgCD3|FiscalCD,3,1,5
selo,AgCD3|FiscalCD,AgCD3|FiscalCD,4,1,5
selo,AgCD3|FiscalCD,AgCD3|FiscalCD,5,1,5
selo,AgCD3|FiscalCD,AgCD3|FiscalCD,6,1,5
selo,EmpSem|FiscalAT,AgAT2|VereadorAT,1,2,5
selo,EmpSem|FiscalAT,AgAT2|VereadorAT,2,2,5
selo,EmpSem|FiscalAT,AgAT2|VereadorAT,3,2,5
selo,EmpSem|FiscalAT,AgAT2|VereadorAT,4,2,5
selo,EmpSem|FiscalAT,AgAT1,1,2,5
selo,EmpSem|FiscalAT,AgAT1,2,2,5
selo,EmpSem|FiscalAT,AgAT1,3,2,5
selo,EmpSem|FiscalAT,AgAT1,4,2,5
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,1,3,5
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,2,3,5
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,3,3,5
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,4,3,5
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,5,3,5
selo,AgCD1|FiscalCD,AgCD1|FiscalCD,6,3,5
selo,AgCD1|FiscalCD,AgCD3|VereadorCD,1,3,5
selo,AgCD1|FiscalCD,AgCD3|VereadorCD,2,3,5
selo,AgCD1|FiscalCD,AgCD3|VereadorCD,3,3,5
selo,AgCD1|FiscalCD,AgCD3|VereadorCD,4,3,5
selo,AgCD1|FiscalCD,AgCD3|VereadorCD,5,3,5
selo,AgCD1|FiscalCD,AgCD3|VereadorCD,6,3,5
selo,EmpSem|FiscalAT,AgAT1,5,3,5
selo,EmpSem|FiscalAT,AgAT1,6,3,5
selo,EmpSem|FiscalAT,AgAT2|VereadorAT,5,3,5
selo,EmpSem|FiscalAT,AgAT2|VereadorAT,6,3,5
selo,EmpSem|FiscalAT,AgAT3,5,3,5
selo,EmpSem|FiscalAT,AgAT3,6,3,5
