acao,pessoa1,pessoa2,parcela,objeto,tipo_preco,rodada,jogo
venda/aluguel,EmpSem|FiscalAT,AgCD3,1,Hortalica,normal,1,9
venda/aluguel,EmpFert|VereadorCD,AgCD3,1,Super premium,baixo,1,9
venda/aluguel,EmpSem|FiscalAT,AgCD3,2,Hortalica,normal,1,9
venda/aluguel,EmpFert|VereadorCD,AgCD3,2,Super premium,baixo,1,9
venda/aluguel,EmpSem|FiscalAT,AgCD3,3,Hortalica,normal,1,9
venda/aluguel,EmpFert|VereadorCD,AgCD3,3,Super premium,baixo,1,9
venda/aluguel,EmpSem|FiscalAT,AgCD3,4,Hortalica,normal,1,9
venda/aluguel,EmpFert|VereadorCD,AgCD3,4,Super premium,baixo,1,9
venda/aluguel,EmpSem|FiscalAT,AgCD3,5,Hortalica,normal,1,9
venda/aluguel,EmpFert|VereadorCD,AgCD3,5,Super premium,baixo,1,9
venda/aluguel,EmpSem|FiscalAT,AgCD3,6,Hortalica,normal,1,9
venda/aluguel,EmpFert|VereadorCD,AgCD3,6,Super premium,alto,1,9
venda/aluguel,EmpSem|FiscalAT,AgCD1|PrefeitoCD,1,Hortalica,normal,1,9
venda/aluguel,EmpFert|VereadorCD,AgCD1|PrefeitoCD,1,Super premium,baixo,1,9
venda/aluguel,EmpMaq|PrefeitoAT,AgCD1|PrefeitoCD,1,Maquinas 2,alto,1,9
venda/aluguel,EmpSem|FiscalAT,AgCD1|PrefeitoCD,2,Hortalica,normal,1,9
venda/aluguel,EmpFert|VereadorCD,AgCD1|PrefeitoCD,2,Super premium,baixo,1,9
venda/aluguel,EmpMaq|PrefeitoAT,AgCD1|PrefeitoCD,2,Maquinas 2,alto,1,9
venda/aluguel,EmpSem|FiscalAT,AgAT1,1,Soja,normal,1,9
venda/aluguel,EmpFert|VereadorCD,AgAT1,1,Super premium,baixo,1,9
venda/aluguel,EmpMaq|PrefeitoAT,AgAT1,1,Maquinas 3,baixo,1,9
venda/aluguel,EmpSem|FiscalAT,AgAT1,2,Soja,normal,1,9
venda/aluguel,EmpFert|VereadorCD,AgAT1,2,Super premium,baixo,1,9
