acao,pessoa1,pessoa2,parcela,objeto,tipo_preco,rodada,jogo
venda/aluguel,EmpSem|PrefeitoAT,AgCD2|VereadorCD,1,Hortalica,baixo,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgCD2|VereadorCD,1,Super premium,baixo,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgCD2|VereadorCD,2,Hortalica,baixo,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgCD2|VereadorCD,2,Super premium,baixo,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgCD2|VereadorCD,3,Hortalica,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgCD2|VereadorCD,3,Super premium,baixo,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgCD2|VereadorCD,4,Hortalica,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgCD2|VereadorCD,4,Super premium,baixo,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgCD2|VereadorCD,5,Hortalica,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgCD2|VereadorCD,5,Super premium,baixo,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgCD2|VereadorCD,6,Hortalica,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgCD2|VereadorCD,6,Super premium,baixo,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgCD1|FiscalCD,1,Arroz,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgCD1|FiscalCD,1,Comum,normal,1,8
venda/aluguel,EmpAgro,AgCD1|FiscalCD,1,Comum,normal,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgCD1|FiscalCD,2,Arroz,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgCD1|FiscalCD,2,Comum,normal,1,8
venda/aluguel,EmpAgro,AgCD1|FiscalCD,2,Comum,normal,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgCD1|FiscalCD,3,Arroz,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgCD1|FiscalCD,3,Comum,normal,1,8
venda/aluguel,EmpAgro,AgCD1|FiscalCD,3,Comum,normal,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgCD1|FiscalCD,4,Arroz,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgCD1|FiscalCD,4,Comum,normal,1,8
venda/aluguel,EmpAgro,AgCD1|FiscalCD,4,Comum,normal,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgAT1|VereadorAT,1,Arroz,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgAT1|VereadorAT,1,Super premium,baixo,1,8
venda/aluguel,EmpMaq,AgAT1|VereadorAT,1,Maquinas 3,normal,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgAT1|VereadorAT,2,Arroz,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgAT1|VereadorAT,2,Super premium,baixo,1,8
venda/aluguel,EmpMaq,AgAT1|VereadorAT,2,Maquinas 3,normal,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgAT1|VereadorAT,3,Arroz,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgAT1|VereadorAT,3,Super premium,baixo,1,8
venda/aluguel,EmpMaq,AgAT1|VereadorAT,3,Maquinas 3,normal,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgAT1|VereadorAT,4,Arroz,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgAT1|VereadorAT,4,Super premium,baixo,1,8
venda/aluguel,EmpAgro,AgAT1|VereadorAT,4,Super premium,normal,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgAT1|VereadorAT,5,Arroz,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgAT1|VereadorAT,5,Super premium,baixo,1,8
venda/aluguel,EmpAgro,AgAT1|VereadorAT,5,Super premium,normal,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgAT1|VereadorAT,6,Arroz,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgAT1|VereadorAT,6,Super premium,baixo,1,8
venda/aluguel,EmpAgro,AgAT1|VereadorAT,6,Super premium,normal,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgAT2|FiscalAT,1,Arroz,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgAT2|FiscalAT,1,Premium,normal,1,8
venda/aluguel,EmpMaq,AgAT2|FiscalAT,1,Maquinas 2,normal,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgAT2|FiscalAT,2,Arroz,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgAT2|FiscalAT,2,Premium,normal,1,8
venda/aluguel,EmpMaq,AgAT2|FiscalAT,2,Maquinas 2,normal,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgAT2|FiscalAT,3,Arroz,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgAT2|FiscalAT,3,Premium,normal,1,8
venda/aluguel,EmpMaq,AgAT2|FiscalAT,3,Maquinas 2,normal,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgAT2|FiscalAT,4,Arroz,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgAT2|FiscalAT,4,Premium,normal,1,8
venda/aluguel,EmpMaq,AgAT2|FiscalAT,4,Maquinas 2,normal,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgAT2|FiscalAT,5,Arroz,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgAT2|FiscalAT,5,Premium,normal,1,8
venda/aluguel,EmpAgro,AgAT2|FiscalAT,5,Premium,normal,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgAT2|FiscalAT,6,Arroz,normal,1,8
venda/aluguel,EmpFert|PrefeitoCD,AgAT2|FiscalAT,6,Premium,normal,1,8
venda/aluguel,EmpAgro,AgAT2|FiscalAT,6,Premium,normal,1,8
venda/aluguel,EmpSem|PrefeitoAT,AgAT2|FiscalAT,1,Soja,normal,2,8
