acao,cidade,personagem,tipo_taxa,valor,rodada,jogo
taxa,Atlantis,,1,10,1,7
taxa,Atlantis,,2,10%,1,7
taxa,Atlantis,,3,30%,1,7
taxa,Atlantis,,1,10,2,7
taxa,Atlantis,,2,10%,2,7
taxa,Atlantis,,3,30%,2,7
taxa,Atlantis,,1,10,3,7
taxa,Atlantis,,2,10%,3,7
taxa,Atlantis,,3,35%,3,7
taxa,Atlantis,,1,10,4,7
taxa,Atlantis,,2,10%,4,7
taxa,Atlantis,,3,35%,4,7
taxa,Atlantis,,1,10,5,7
taxa,Atlantis,,2,10%,5,7
taxa,Atlantis,,3,35%,5,7
taxa,Cidadela,,1,10,1,7
taxa,Cidadela,,2,10%,1,7
taxa,Cidadela,,3,30%,1,7
taxa,Cidadela,,1,10,2,7
taxa,Cidadela,,2,10%,2,7
taxa,Cidadela,,3,30%,2,7
taxa,Cidadela,,1,10,3,7
taxa,Cidadela,,2,15%,3,7
taxa,Cidadela,,3,30%,3,7
taxa,Cidadela,,1,10,4,7
taxa,Cidadela,,2,15%,4,7
taxa,Cidadela,,3,30%,4,7
taxa,Cidadela,,1,10,5,7
taxa,Cidadela,,2,15%,5,7
taxa,Cidadela,,3,30%,5,7
